Height[m]  Pressure[hPa]  Temperature[°C]  Dewpoint[°C]  Wind direction[°]  Wind speed[m/s]
3410       645.46         1.53             -31.85        276.7              10.21
3420       644.66         1.46             -32.23        276.2              10.25
3430       643.86         1.41             -32.79        275.9              10.38
3440       643.07         1.36             -33.49        275.5              10.49
3450       642.27         1.32             -34.27        275.7              10.55
3460       641.48         1.28             -35.13        275.7              10.58
3470       640.68         1.24             -36.09        275.5              10.60
3480       639.89         1.20             -36.91        275.8              10.65
3490       639.10         1.16             -37.68        275.8              10.66
3500       638.30         1.12             -38.43        275.8              10.61
3510       637.51         1.07             -39.08        276.0              10.54
3520       636.72         1.02             -39.57        275.7              10.53
3530       635.93         0.96             -39.93        275.4              10.47
3540       635.14         0.90             -40.08        274.7              10.42
3550       634.36         0.84             -39.99        274.5              10.38
3560       633.57         0.78             -39.76        274.4              10.35
3570       632.78         0.72             -39.48        274.1              10.32
3580       632.00         0.65             -39.07        274.7              10.29
3590       631.21         0.57             -38.58        275.5              10.32
3600       630.43         0.48             -38.05        275.4              10.37
3610       629.65         0.39             -37.39        275.2              10.36
3620       628.86         0.31             -36.66        275.2              10.36
3630       628.08         0.22             -35.89        274.8              10.35
3640       627.30         0.15             -35.25        274.3              10.29
3650       626.52         0.06             -34.60        274.0              10.22
3660       625.74         -0.02            -34.12        274.0              10.16
3670       624.96         -0.11            -33.72        273.6              10.14
3680       624.19         -0.20            -33.51        273.3              10.13
3690       623.41         -0.28            -33.41        272.9              10.09
3700       622.63         -0.35            -33.41        272.2              10.04
3710       621.86         -0.42            -33.48        271.6              10.08
3720       621.08         -0.50            -33.65        271.1              10.11
3730       620.31         -0.58            -33.90        270.3              10.14
3740       619.54         -0.66            -34.21        269.7              10.19
3750       618.76         -0.74            -34.51        269.2              10.19
3760       617.99         -0.82            -34.78        268.9              10.22
3770       617.22         -0.89            -34.90        268.5              10.21
3780       616.45         -0.97            -34.87        268.5              10.17
3790       615.68         -1.04            -34.74        268.7              10.18
3800       614.91         -1.13            -34.46        268.7              10.18
3810       614.14         -1.21            -34.10        269.0              10.19
3820       613.38         -1.30            -33.73        269.5              10.20
3830       612.61         -1.38            -33.44        270.2              10.22
3840       611.84         -1.46            -33.23        271.0              10.22
3850       611.08         -1.53            -33.13        271.5              10.28
3860       610.31         -1.62            -33.05        271.8              10.31
3870       609.55         -1.71            -33.07        271.9              10.35
3880       608.79         -1.80            -33.18        270.9              10.45
3890       608.02         -1.88            -33.36        269.6              10.48
3900       607.26         -1.96            -33.59        268.3              10.55
3910       606.50         -2.02            -33.86        267.3              10.67
3920       605.74         -2.08            -34.18        266.6              10.80
3930       604.98         -2.12            -34.57        266.4              10.93
3940       604.22         -2.16            -35.04        266.5              11.09
3950       603.47         -2.19            -35.65        267.2              11.27
3960       602.71         -2.22            -36.38        267.9              11.49
3970       601.95         -2.24            -37.12        268.8              11.68
3980       601.20         -2.26            -37.86        269.4              11.81
3990       600.44         -2.29            -38.47        269.9              11.99
4000       599.69         -2.31            -38.89        270.1              12.15
4010       598.94         -2.35            -39.23        270.3              12.23
4020       598.19         -2.39            -39.45        270.6              12.30
4030       597.43         -2.44            -39.59        271.0              12.41
4040       596.68         -2.49            -39.58        271.2              12.48
4050       595.94         -2.56            -39.49        271.4              12.49
4060       595.19         -2.62            -39.34        271.7              12.52
